Original,Name,Vorname,Titel,Sonstiges,Name Vorname
"Jackson, H. und M. Schweikher",Jackson,M. Schweikher H. und,,,Jackson M. Schweikher H. und
"Jacob, Frau Dr. Carl",Jacob,Carl,Dr. Frau,,Jacob Carl
"Jacob, Ida",Jacob,Ida,,,Jacob Ida
"Jacob, Therese Albertine Luise v",Jacob,Albertine Luise Therese,,v,Jacob Albertine Luise Therese
"Jacobi, Auguste",Jacobi,Auguste,,,Jacobi Auguste
"Jacobi, Frl. Eugenie",Jacobi,Eugenie,Frl.,,Jacobi Eugenie
"Jacobi, Frau Katharine",Jacobi,Katharine,Frau,,Jacobi Katharine
"Jacobi, M",Jacobi,M,,,Jacobi M
"Jacobi, Frl. Margarete",Jacobi,Margarete,Frl.,,Jacobi Margarete
"Jacobi, Frau Minna von",Jacobi,Minna,Frau,von,Jacobi Minna
"Jacobshagen, Frl. Marie",Jacobshagen,Marie,Frl.,,Jacobshagen Marie
"Jacobson, Frl. Bettina",Jacobson,Bettina,Frl.,,Jacobson Bettina
"Jacobson, Helene",Jacobson,Helene,,,Jacobson Helene
"Jacobus, Icimar",Jacobus,Icimar,,,Jacobus Icimar
"Jacoby, Alinda",Jacoby,Alinda,,,Jacoby Alinda
"Jacoby, Frau Rechtsanwalt",Jacoby,,Frau Rechtsanwalt,,Jacoby 
"Jaeger, Frau Ober-Stabsarzt, Anna",Jaeger,Anna,Frau,,Jaeger Anna
"Jäger, A",Jäger,A,,,Jäger A
"Jäger, Clara",Jäger,Clara,,,Jäger Clara
"Jäger, Elise",Jäger,Elise,,,Jäger Elise
"Jäger, Marie",Jäger,Marie,,,Jäger Marie
"Jäger-Meier, Frau Marie",Jäger-Meier,Marie,Frau,,Jäger-Meier Marie
"Jahn, Frl. Hedwig",Jahn,Hedwig,Frl.,,Jahn Hedwig
"Jaksch, Elfriede",Jaksch,Elfriede,,,Jaksch Elfriede
"Jane, Emma",Jane,Emma,,,Jane Emma
"Janitschek, Frau Maria",Janitschek,Maria,Frau,,Janitschek Maria
"Janitschek, Maria",Janitschek,Maria,,,Janitschek Maria
"Janke, Frl. Carola v",Janke,Carola,Frl.,v,Janke Carola
"Janke, Carola v",Janke,Carola,,v,Janke Carola
"Jankovics, Gräfin Anna",Jankovics,Anna,Gräfin,,Jankovics Anna
"Jansen, Emmi",Jansen,Emmi,,,Jansen Emmi
"Jardon, Cornelia",Jardon,Cornelia,,,Jardon Cornelia
"Jarke, Franziska",Jarke,Franziska,,,Jarke Franziska
"Jasmund, Majorin Agavia v",Jasmund,Agavia,Majorin,v,Jasmund Agavia
"Jastrow, Henriette",Jastrow,Henriette,,,Jastrow Henriette
"Jaworek, Henriette",Jaworek,Henriette,,,Jaworek Henriette
"Jeanne, Marie",Jeanne,Marie,,,Jeanne Marie
"Jenisch, Frl. Clara Antonie",Jenisch,Antonie Clara,Frl.,,Jenisch Antonie Clara
"Jenisch, Louise",Jenisch,Louise,,,Jenisch Louise
Jenny,Jenny,,,,Jenny 
Jenny,Jenny,,,,Jenny 
"Jentzen, Louise",Jentzen,Louise,,,Jentzen Louise
"Jerschke, Frau Marie",Jerschke,Marie,Frau,,Jerschke Marie
Jerta,Jerta,,,,Jerta 
"Jerusalem, Friederike",Jerusalem,Friederike,,,Jerusalem Friederike
"Jezma, P. F",Jezma,F P.,,,Jezma F P.
"Jikeli, Julie",Jikeli,Julie,,,Jikeli Julie
"Jireček v. Samokov, Frl. Noemi",Jireček v. Samokov,Noemi,Frl.,,Jireček v. Samokov Noemi
"Joachim, A",Joachim,A,,,Joachim A
"Jobaháza, Maczy Freiin v",Jobaháza,Maczy,Freiin,v,Jobaháza Maczy
"Jochheim, Amalie",Jochheim,Amalie,,,Jochheim Amalie
"Jochner, Frau Klara",Jochner,Klara,Frau,,Jochner Klara
Joconde,Joconde,,,,Joconde 
"Joël, Hedwig",Joël,Hedwig,,,Joël Hedwig
Johanna,Johanna,,,,Johanna 
"Johannsen, Wilhelmine",Johannsen,Wilhelmine,,,Johannsen Wilhelmine
"Johanny, A",Johanny,A,,,Johanny A
"Johanson, Julie",Johanson,Julie,,,Johanson Julie
"John, Eugenie",John,Eugenie,,,John Eugenie
"John, Frau Ida",John,Ida,Frau,,John Ida
"Jolowicz, Frl. Selma",Jolowicz,Selma,Frl.,,Jolowicz Selma
"Jonas von Szatánska, Frl. Marya",Jonas von Szatánska,Marya,Frl.,,Jonas von Szatánska Marya
"Jonas, Pauline",Jonas,Pauline,,,Jonas Pauline
"Jonas, Sophie",Jonas,Sophie,,,Jonas Sophie
"Jordaens, Hans",Jordaens,Hans,,,Jordaens Hans
"Josephson, Bertha",Josephson,Bertha,,,Josephson Bertha
"Jósika, Julie",Jósika,Julie,,,Jósika Julie
"Joysel, Marie von",Joysel,Marie,,von,Joysel Marie
"Julian, Regina",Julian,Regina,,,Julian Regina
Juliane,Juliane,,,,Juliane 
Juliane,Juliane,,,,Juliane 
"Juliat, Knut v",Juliat,Knut,,v,Juliat Knut
"Jullemier, Alexandrine",Jullemier,Alexandrine,,,Jullemier Alexandrine
"Juncker, E",Juncker,E,,,Juncker E
"Jung, Amalie",Jung,Amalie,,,Jung Amalie
"Jung, Frl. Luise Mathilde",Jung,Mathilde Luise,Frl.,,Jung Mathilde Luise
"Junghans, Sophie",Junghans,Sophie,,,Junghans Sophie
"Junghans, Sophie",Junghans,Sophie,,,Junghans Sophie
"Jüngling, Madelaine",Jüngling,Madelaine,,,Jüngling Madelaine
"Jüngst, Frl. Antonie",Jüngst,Antonie,Frl.,,Jüngst Antonie
"Jüngst, Antonie",Jüngst,Antonie,,,Jüngst Antonie
"Jüngst, Luise",Jüngst,Luise,,,Jüngst Luise
"Jüngst, Marie",Jüngst,Marie,,,Jüngst Marie
"Jung-Stilling, Elise v",Jung-Stilling,Elise,,v,Jung-Stilling Elise
"Jurik, Frl. Josefine",Jurik,Josefine,Frl.,,Jurik Josefine
"Just, Frau Clara",Just,Clara,Frau,,Just Clara
"Justus, Th",Justus,Th,,,Justus Th
"Kaarsen, Magda",Kaarsen,Magda,,,Kaarsen Magda
"Kabilka, Frau Pauline",Kabilka,Pauline,Frau,,Kabilka Pauline
"Kablik, Josefine",Kablik,Josefine,,,Kablik Josefine
"Kadelburg, Gertrud",Kadelburg,Gertrud,,,Kadelburg Gertrud
"Kahl, Frl. Hedwig",Kahl,Hedwig,Frl.,,Kahl Hedwig
"Kahlenberg, H. v",Kahlenberg,H.,,v,Kahlenberg H.
"Kahlert, Emilie",Kahlert,Emilie,,,Kahlert Emilie
"Kainz, Sara",Kainz,Sara,,,Kainz Sara
"Kaiser, Hedwig",Kaiser,Hedwig,,,Kaiser Hedwig
"Kaiser, Frl. Isabella",Kaiser,Isabella,Frl.,,Kaiser Isabella
"Kalb, Freifrau Charlotte von",Kalb,Charlotte,Freifrau,von,Kalb Charlotte
Kaliska,Kaliska,,,,Kaliska 
"Kallenberg, Anna",Kallenberg,Anna,,,Kallenberg Anna
"Kallmann, Frau Emma",Kallmann,Emma,Frau,,Kallmann Emma
"Kallusky, Martha",Kallusky,Martha,,,Kallusky Martha
"Kalnein, Gräfin Elsa",Kalnein,Elsa,Gräfin,,Kalnein Elsa
"Kaltenhauser, Frau Fanny",Kaltenhauser,Fanny,Frau,,Kaltenhauser Fanny
"Kameke, Frau Mathilde von",Kameke,Mathilde,Frau,von,Kameke Mathilde
"Kamienska, Caroline Friederike v",Kamienska,Caroline Friederike,,v,Kamienska Caroline Friederike
"Kaminsky, Katharina von",Kaminsky,Katharina,,von,Kaminsky Katharina
"Kämpffert, Anna",Kämpffert,Anna,,,Kämpffert Anna
"Kampmann, Frau Klara Ferdinande",Kampmann,Ferdinande Klara,Frau,,Kampmann Ferdinande Klara
"Kanitz, Frau Antonie",Kanitz,Antonie,Frau,,Kanitz Antonie
"Kanitz, Gräfin Luise v",Kanitz,Luise,Gräfin,v,Kanitz Luise
"Kannacher, Freiin Anna v",Kannacher,Anna,Freiin,v,Kannacher Anna
"Kapff-Essenther, Franziska v",Kapff-Essenther,Franziska,,v,Kapff-Essenther Franziska
"Kapff-Essenther, Franziska v",Kapff-Essenther,Franziska,,v,Kapff-Essenther Franziska
"Kapp, Ottilie",Kapp,Ottilie,,,Kapp Ottilie
"Kapper-Mikolasch, J",Kapper-Mikolasch,J,,,Kapper-Mikolasch J
"Kappler, Eleonore",Kappler,Eleonore,,,Kappler Eleonore
"Käpplinger, Christiane",Käpplinger,Christiane,,,Käpplinger Christiane
"Kapri, Baronin, Mathilde von",Kapri,Mathilde,Baronin,von,Kapri Mathilde
"Karbe, Anna",Karbe,Anna,,,Karbe Anna
"Kärcher, Amalie",Kärcher,Amalie,,,Kärcher Amalie
"Karol, Martha",Karol,Martha,,,Karol Martha
Karolas Tante,Karolas Tante,,,,Karolas Tante 
Karoline Luise,Karoline Luise,,,,Karoline Luise 
"Karrotom, Ady",Karrotom,Ady,,,Karrotom Ady
"Karsch, Anna Luise",Karsch,Anna Luise,,,Karsch Anna Luise
Kartoffel- und Obstküche etc,Kartoffel- und Obstküche etc,,,,Kartoffel- und Obstküche etc 
"Karsten, Frl. Paula Franziska Wilhelmine",Karsten,Wilhelmine Paula Franziska,Frl.,,Karsten Wilhelmine Paula Franziska
"Karstens, M",Karstens,M,,,Karstens M
"Kasch, Frau Anna Katharina",Kasch,Katharina Anna,Frau,,Kasch Katharina Anna
"Kassel, Emilie",Kassel,Emilie,,,Kassel Emilie
"Kastner-Michalitschke, Frau Else",Kastner-Michalitschke,Else,Frau,,Kastner-Michalitschke Else
"Kastner, Rosina",Kastner,Rosina,,,Kastner Rosina
"Kästner, W",Kästner,W,,,Kästner W
Kastrobalas,Kastrobalas,,,,Kastrobalas 
"Käthchen, Gräfin",Käthchen,,Gräfin,,Käthchen 
Käthchen,Käthchen,,,,Käthchen 
"Kathrein, Ani",Kathrein,Ani,,,Kathrein Ani
"Katscher, Frau Berta",Katscher,Berta,Frau,,Katscher Berta
"Katt, Frida",Katt,Frida,,,Katt Frida
"Katte, Ellen",Katte,Ellen,,,Katte Ellen
"Katter, Lina",Katter,Lina,,,Katter Lina
"Kattner, Frau Emma Elise",Kattner,Emma Elise,Frau,,Kattner Emma Elise
"Kattrein, Frl. Gerda",Kattrein,Gerda,Frl.,,Kattrein Gerda
"Katz, Frau Helene",Katz,Helene,Frau,,Katz Helene
"Katz, Helene",Katz,Helene,,,Katz Helene
"Kauders, Wwe. Marie",Kauders,Wwe. Marie,,,Kauders Wwe. Marie
"Kauer, Fanny",Kauer,Fanny,,,Kauer Fanny
"Kauffmann, Hulda",Kauffmann,Hulda,,,Kauffmann Hulda
"Kaufmann, Frau Mathilde",Kaufmann,Mathilde,Frau,,Kaufmann Mathilde
"Kautsky, Frau Minna",Kautsky,Minna,Frau,,Kautsky Minna
"Kayser-Langerhannss, Frau Agnes",Kayser-Langerhannss,Agnes,Frau,,Kayser-Langerhannss Agnes
"Keck, Luise",Keck,Luise,,,Keck Luise
"Kegel, Frau Marie",Kegel,Marie,Frau,,Kegel Marie
"Kehlheim, Julius",Kehlheim,Julius,,,Kehlheim Julius
"Keil, Margarethe Elisabeth",Keil,Elisabeth Margarethe,,,Keil Elisabeth Margarethe
"Keiter, Frau Therese",Keiter,Therese,Frau,,Keiter Therese
"Keller, Doris",Keller,Doris,,,Keller Doris
"Keller, H",Keller,H,,,Keller H
"Keller-Jordan, Frau Henriette",Keller-Jordan,Henriette,Frau,,Keller-Jordan Henriette
"Keller, Sophie",Keller,Sophie,,,Keller Sophie
"Keller, Sophie v",Keller,Sophie,,v,Keller Sophie
"Kellner, Emilie",Kellner,Emilie,,,Kellner Emilie
"Kempe, Anna",Kempe,Anna,,,Kempe Anna
"Kempe, Frl. Auguste",Kempe,Auguste,Frl.,,Kempe Auguste
"Kempin, Frau Emilie, Dr. jur",Kempin,Dr. jur,Frau,,Kempin Dr. jur
"Kempner, Frl. Friederike",Kempner,Friederike,Frl.,,Kempner Friederike
"Kempner-Hochstädt, Frau Martha",Kempner-Hochstädt,Martha,Frau,,Kempner-Hochstädt Martha
"Kennedy, Grace",Kennedy,Grace,,,Kennedy Grace
"Kenner, C",Kenner,C,,,Kenner C
"Kerfstedt, Amanda",Kerfstedt,Amanda,,,Kerfstedt Amanda
"Kerimée, Hanoum",Kerimée,Hanoum,,,Kerimée Hanoum
"Kern, Frau Irmgard",Kern,Irmgard,Frau,,Kern Irmgard
"Kerschbaumer, Frau Dr. Rosa",Kerschbaumer,Rosa,Dr. Frau,,Kerschbaumer Rosa
"Kessler, Frl. Sophie",Kessler,Sophie,Frl.,,Kessler Sophie
"Kestřanek, Frau Clara",Kestřanek,Clara,Frau,,Kestřanek Clara
"Kettler, Frau J",Kettler,J,Frau,,Kettler J
"Ketzler, Frau Pauline",Ketzler,Pauline,Frau,,Ketzler Pauline
"Keyser, Frl. Stephanie",Keyser,Stephanie,Frl.,,Keyser Stephanie
"Keyserling, Gräfin C",Keyserling,C,Gräfin,,Keyserling C
"Keyserling-Rautenburg, Gräfin Cecilie",Keyserling-Rautenburg,Cecilie,Gräfin,,Keyserling-Rautenburg Cecilie
"Keyserling, Gräfin Margarete",Keyserling,Margarete,Gräfin,,Keyserling Margarete
"Keyserling, Margarete",Keyserling,Margarete,,,Keyserling Margarete
"Keyserlingk, J",Keyserlingk,J,,,Keyserlingk J
"Khaynach, Antonie von",Khaynach,Antonie,,von,Khaynach Antonie
"Khaynach, Frl. Paulamarie v",Khaynach,Paulamarie,Frl.,v,Khaynach Paulamarie
"Khuenberg, Sophie v",Khuenberg,Sophie,,v,Khuenberg Sophie
"Kiesekamp, Frau Hedwig",Kiesekamp,Hedwig,Frau,,Kiesekamp Hedwig
"Kieser, Frl. Marg",Kieser,Marg,Frl.,,Kieser Marg
"Kieslinger, Emilie",Kieslinger,Emilie,,,Kieslinger Emilie
"Kind, Friederike Roswitha",Kind,Friederike Roswitha,,,Kind Friederike Roswitha
"Kind, Joh. Louise",Kind,Joh. Louise,,,Kind Joh. Louise
"Kinderlieb, Auguste, Frau Pastor Strecker",Kinderlieb,Auguste,Frau Pastor Strecker,,Kinderlieb Auguste
"Kinkel, Johanna",Kinkel,Johanna,,,Kinkel Johanna
"Kinsky-Körner, Gräfin Sophie",Kinsky-Körner,Sophie,Gräfin,,Kinsky-Körner Sophie
"Kirchhoff, Frl. Anna",Kirchhoff,Anna,Frl.,,Kirchhoff Anna
"Kirchner, Frl. E",Kirchner,E,Frl.,,Kirchner E
"Kirchner, Luise",Kirchner,Luise,,,Kirchner Luise
"Kirchwald, Caroline",Kirchwald,Caroline,,,Kirchwald Caroline
"Kirschner, Lula",Kirschner,Lula,,,Kirschner Lula
"Kirzinger, Xaverie",Kirzinger,Xaverie,,,Kirzinger Xaverie
"Kisslinger, Emilie",Kisslinger,Emilie,,,Kisslinger Emilie
"Kist, L",Kist,L,,,Kist L
"Kistner, Frau Anna",Kistner,Anna,Frau,,Kistner Anna
"Kittl, Marie Gabrielle",Kittl,Marie Gabrielle,,,Kittl Marie Gabrielle
"Kla, Ann da",Kla,Ann da,,,Kla Ann da
"Klapp-Osten, Frau Anna Sophie Charlotte",Klapp-Osten,Charlotte Anna Sophie,Frau,,Klapp-Osten Charlotte Anna Sophie
"Klar, Franziska",Klar,Franziska,,,Klar Franziska
"Klara, Gräfin v. Löwenmark",Klara,Löwenmark,Gräfin,v.,Klara Löwenmark
"Klarent, B",Klarent,B,,,Klarent B
"Klarin, Elisabethe",Klarin,Elisabethe,,,Klarin Elisabethe
"Klauczek, Katharina",Klauczek,Katharina,,,Klauczek Katharina
"Klee, Elisabeth",Klee,Elisabeth,,,Klee Elisabeth
"Klee, Elisabeth",Klee,Elisabeth,,,Klee Elisabeth
"Kleeberg, Minna",Kleeberg,Minna,,,Kleeberg Minna
"Klein, Adele",Klein,Adele,,,Klein Adele
"Klein, Frl. Anna",Klein,Anna,Frl.,,Klein Anna
"Klein, Frau Anna",Klein,Anna,Frau,,Klein Anna
"Klein, Katharina",Klein,Katharina,,,Klein Katharina
"Klein, Ida",Klein,Ida,,,Klein Ida
"Klein, Frl. Katharina",Klein,Katharina,Frl.,,Klein Katharina
"Klein, Margareta",Klein,Margareta,,,Klein Margareta
"Klein, Marie",Klein,Marie,,,Klein Marie
"Klein, Pauline",Klein,Pauline,,,Klein Pauline
"Kleinert, Sophie v",Kleinert,Sophie,,v,Kleinert Sophie
"Kleinschrod, Frau Ottilie",Kleinschrod,Ottilie,Frau,,Kleinschrod Ottilie
"Kleinwort, Frau Anna Luise",Kleinwort,Anna Luise,Frau,,Kleinwort Anna Luise
"Kleist, Ulrike von",Kleist,Ulrike,,von,Kleist Ulrike
"Klemich, Frau Marie Eugenie",Klemich,Marie Eugenie,Frau,,Klemich Marie Eugenie
"Klencke, Caroline Louise von",Klencke,Caroline Louise,,von,Klencke Caroline Louise
"Klenk, Jakobine",Klenk,Jakobine,,,Klenk Jakobine
"Kletke, Therese",Kletke,Therese,,,Kletke Therese
"Klettenberg, Susanna Katharina von",Klettenberg,Katharina Susanna,,von,Klettenberg Katharina Susanna
"Klie, Anna",Klie,Anna,,,Klie Anna
"Kliment, Frl. Marie von",Kliment,Marie,Frl.,von,Kliment Marie
"Klinck-Lütetsburg, Frau Fanny",Klinck-Lütetsburg,Fanny,Frau,,Klinck-Lütetsburg Fanny
"Klinckowström, Gräfin Agnes v",Klinckowström,Agnes,Gräfin,v,Klinckowström Agnes
"Klinckowström, Henriette Eleonore von",Klinckowström,Henriette Eleonore,,von,Klinckowström Henriette Eleonore
"Klinge, E",Klinge,E,,,Klinge E
"Klingenfeld, Frl. Emma",Klingenfeld,Emma,Frl.,,Klingenfeld Emma
"Klinger, H",Klinger,H,,,Klinger H
"Klipstein, Frl. Maria",Klipstein,Maria,Frl.,,Klipstein Maria
"Klob, Frl. Auguste",Klob,Auguste,Frl.,,Klob Auguste
"Klock, Amanda",Klock,Amanda,,,Klock Amanda
"Kloerss, Frau Sophie",Kloerss,Sophie,Frau,,Kloerss Sophie
"Kloest, Baronin v",Kloest,,Baronin,v,Kloest 
"Klokow, Frl. Ida",Klokow,Ida,Frl.,,Klokow Ida
"Klopstock, Margarete Meta",Klopstock,Margarete Meta,,,Klopstock Margarete Meta
"Klönne, Hulda",Klönne,Hulda,,,Klönne Hulda
"Klose, Alma",Klose,Alma,,,Klose Alma
"Klose, Marie",Klose,Marie,,,Klose Marie
"Klostermann, Schulvorsteherin, Marie",Klostermann,Marie,,,Klostermann Marie
"Klosterzell, Kathi v",Klosterzell,Kathi,,v,Klosterzell Kathi
"Kluge, H",Kluge,H,,,Kluge H
"Klump, Frl. Marie",Klump,Marie,Frl.,,Klump Marie
"Klussmann, Frl. Nelly",Klussmann,Nelly,Frl.,,Klussmann Nelly
"Knackfuss, Frl. Elisabeth",Knackfuss,Elisabeth,Frl.,,Knackfuss Elisabeth
"Knackfuss, Frau Major Emma",Knackfuss,Emma Major,Frau,,Knackfuss Emma Major
"Knauff, Marie",Knauff,Marie,,,Knauff Marie
"Knecht, Margaretha",Knecht,Margaretha,,,Knecht Margaretha
"Knieper, Frau Marie",Knieper,Marie,Frau,,Knieper Marie
"Knitschke, Frau Marie",Knitschke,Marie,Frau,,Knitschke Marie
"Knittel, Hedwig",Knittel,Hedwig,,,Knittel Hedwig
"Knobel, Frl. Margarete",Knobel,Margarete,Frl.,,Knobel Margarete
"Knobel, Pauline",Knobel,Pauline,,,Knobel Pauline
"Knobelsdorff, Adelheid von",Knobelsdorff,Adelheid,,von,Knobelsdorff Adelheid
"Knobelsdorff-Brenkenhoff, Frau Nataly Auguste Amalie Hermine v",Knobelsdorff-Brenkenhoff,Auguste Hermine Nataly Amalie,Frau,v,Knobelsdorff-Brenkenhoff Auguste Hermine Nataly Amalie
"Knobloch, Luise von",Knobloch,Luise,,von,Knobloch Luise
"Knörin, R. Ch",Knörin,Ch R.,,,Knörin Ch R.
"Knorr, Josephine, Freiin v",Knorr,Josephine,Freiin,v,Knorr Josephine
"Knorre v. Dargitz, Margarete",Knorre v. Dargitz,Margarete,,,Knorre v. Dargitz Margarete
"Knorring, Sophie v",Knorring,Sophie,,v,Knorring Sophie
"Knosp, Frau Anna",Knosp,Anna,Frau,,Knosp Anna
"Knüpfer, Hedwig Franz. Elise Karol",Knüpfer,Hedwig Karol Elise Franz.,,,Knüpfer Hedwig Karol Elise Franz.
"Kobell, L. v",Kobell,L.,,v,Kobell L.
Köbn v. d. Ried,Köbn v. d. Ried,,,,Köbn v. d. Ried 
"Koburg, Elfriede v",Koburg,Elfriede,,v,Koburg Elfriede
"Köberlin, Theresia",Köberlin,Theresia,,,Köberlin Theresia
"Koch, Frau Kreisbaumeister Auguste",Koch,Auguste,Frau Kreisbaumeister,,Koch Auguste
"Koch, Friederike",Koch,Friederike,,,Koch Friederike
"Koch, Henny",Koch,Henny,,,Koch Henny
"Koch, Katharina",Koch,Katharina,,,Koch Katharina
"Koch-Lintow, Helene",Koch-Lintow,Helene,,,Koch-Lintow Helene
"Koch, Frau Luise",Koch,Luise,Frau,,Koch Luise
"Koch, Marie",Koch,Marie,,,Koch Marie
"Koch, Mary",Koch,Mary,,,Koch Mary
"Koch, Rosalie",Koch,Rosalie,,,Koch Rosalie
"Koch, Rosalie",Koch,Rosalie,,,Koch Rosalie
"Kodis, Josepha",Kodis,Josepha,,,Kodis Josepha
"Koebel, Frl. Margarethe",Koebel,Margarethe,Frl.,,Koebel Margarethe
"Koenneritz, Marie Antonie Angelique Mathilde, Freifrau von",Koenneritz,Marie Antonie Angelique Mathilde,Freifrau von,,Koenneritz Marie Antonie Angelique Mathilde
"Koeppel, Emmy, Frau Oberst",Koeppel,Emmy,Frau Oberst,,Koeppel Emmy
"Kögel, Marie",Kögel,Marie,,,Kögel Marie
"Kohl, Camilla",Kohl,Camilla,,,Kohl Camilla
"Kohl, Ida",Kohl,Ida,,,Kohl Ida
"Köhler, Julie Karoline Henriette",Köhler,Henriette Julie Karoline,,,Köhler Henriette Julie Karoline
"Köhler, Ludmilla",Köhler,Ludmilla,,,Köhler Ludmilla
"Kohn-Sträussler, Adele",Kohn-Sträussler,Adele,,,Kohn-Sträussler Adele
"Kolb, Frl. Elsa",Kolb,Elsa,Frl.,,Kolb Elsa
"Kolbe, Elisabeth",Kolbe,Elisabeth,,,Kolbe Elisabeth
"Kolbe, Frau Pastor",Kolbe,Pastor,Frau,,Kolbe Pastor
"Kolda, Frl. Hermine",Kolda,Hermine,Frl.,,Kolda Hermine
"Kolisch, Irma, Baronin",Kolisch,Baronin,,,Kolisch Baronin
"Kölla-Kind, Frau W. Stäfa",Kölla-Kind,W. Stäfa,Frau,,Kölla-Kind W. Stäfa
"Koller, Anna",Koller,Anna,,,Koller Anna
"Köller, Julie",Köller,Julie,,,Köller Julie
"Kollmann, Therese",Kollmann,Therese,,,Kollmann Therese
"Kolloden, M",Kolloden,M,,,Kolloden M
"Kollonitz, Gräfin Paula",Kollonitz,Paula,Gräfin,,Kollonitz Paula
"Kolzow-Massalski, Helene",Kolzow-Massalski,Helene,,,Kolzow-Massalski Helene
"Kommerell, Wilhelmine",Kommerell,Wilhelmine,,,Kommerell Wilhelmine
"König, A",König,A,,,König A
"König, Frl. Emmy v",König,Emmy,Frl.,v,König Emmy
"König, Eva",König,Eva,,,König Eva
"König, Louise v",König,Louise,,v,König Louise
"König, Frau Natalie",König,Natalie,Frau,,König Natalie
"König, Ottilie",König,Ottilie,,,König Ottilie
"König, Sophie",König,Sophie,,,König Sophie
"Königsmark, Gräfin v",Königsmark,,Gräfin,v,Königsmark 
"Königsthal, Anna Elise Sophie v",Königsthal,Anna Sophie Elise,,v,Königsthal Anna Sophie Elise
"Koninski-Weiss, M",Koninski-Weiss,M,,,Koninski-Weiss M
"Kophamel, Frl. Luise",Kophamel,Luise,Frl.,,Kophamel Luise
"Koppelow, Frau Geheimrat Jenny v",Koppelow,Jenny,Frau Geheimrat,v,Koppelow Jenny
"Koppen, Frl. Luise",Koppen,Luise,Frl.,,Koppen Luise
"Köppen, Natalie v",Köppen,Natalie,,v,Köppen Natalie
"Köpplinger, Christiane",Köpplinger,Christiane,,,Köpplinger Christiane
"Kopsin, Lilly",Kopsin,Lilly,,,Kopsin Lilly
"Korff, Luise",Korff,Luise,,,Korff Luise
"Korff, Mania",Korff,Mania,,,Korff Mania
"Korff-Schmising, Gräfin v",Korff-Schmising,,Gräfin,v,Korff-Schmising 
"Korff-Schmising-Kerssenbrock, T",Korff-Schmising-Kerssenbrock,T,,,Korff-Schmising-Kerssenbrock T
"Korn, Leonore u. Marie Koch",Korn,Koch u. Leonore Marie,,,Korn Koch u. Leonore Marie
"Korn, Minna",Korn,Minna,,,Korn Minna
"Kornatis, Marie",Kornatis,Marie,,,Kornatis Marie
"Kornelia, Helene",Kornelia,Helene,,,Kornelia Helene
"Korntheuer, Frau Dr. Christine",Korntheuer,Christine,Dr. Frau,,Korntheuer Christine
"Kortschak, Paula",Kortschak,Paula,,,Kortschak Paula
"Kortzfleisch, Ida v",Kortzfleisch,Ida,,v,Kortzfleisch Ida
"Koschuetzki, Friederike v",Koschuetzki,Friederike,,v,Koschuetzki Friederike
"Kossak, Frau M",Kossak,M,Frau,,Kossak M
"Kottowitz, Frl. Paula",Kottowitz,Paula,Frl.,,Kottowitz Paula
"Kotz, Baronin Luise",Kotz,Luise,Baronin,,Kotz Luise
"Kotzebue, Christiane v",Kotzebue,Christiane,,v,Kotzebue Christiane
"Kövér, Anna",Kövér,Anna,,,Kövér Anna
"Kracht, Therese",Kracht,Therese,,,Kracht Therese
"Kraft, Ch",Kraft,Ch,,,Kraft Ch
"Kraft, Josefa u. Thekla Nelken",Kraft,u. Thekla Nelken Josefa,,,Kraft u. Thekla Nelken Josefa
"Kraft, Frl. Frieda",Kraft,Frieda,Frl.,,Kraft Frieda
"Kraft, Werner",Kraft,Werner,,,Kraft Werner
"Krag, Frieda v",Krag,Frieda,,v,Krag Frieda
"Krajewska, A. v",Krajewska,A.,,v,Krajewska A.
"Kramer, Eleonore",Kramer,Eleonore,,,Kramer Eleonore
"Krane, Anna v",Krane,Anna,,v,Krane Anna
"Krane, Baronin Gertrud v",Krane,Gertrud,Baronin,v,Krane Gertrud
"Kranerz, Marie Luise",Kranerz,Marie Luise,,,Kranerz Marie Luise
"Kranich, Margaretha u. Mechtilde Maier",Kranich,u. Maier Margaretha Mechtilde,,,Kranich u. Maier Margaretha Mechtilde
"Krásnohorská, Eliška",Krásnohorská,Eliška,,,Krásnohorská Eliška
"Kratt-Harveng, Elise",Kratt-Harveng,Elise,,,Kratt-Harveng Elise
"Kraus, Frl. Annie",Kraus,Annie,Frl.,,Kraus Annie
"Krauschner, Frau Irma",Krauschner,Irma,Frau,,Krauschner Irma
"Krause, Bertha",Krause,Bertha,,,Krause Bertha
"Krause, Charlotte Luise",Krause,Charlotte Luise,,,Krause Charlotte Luise
"Krause, Frau Helene v",Krause,Helene,Frau,v,Krause Helene
"Krause, Frl. Käthe",Krause,Käthe,Frl.,,Krause Käthe
"Krause, Lotte Louise",Krause,Lotte Louise,,,Krause Lotte Louise
"Krause, Frau Luise",Krause,Luise,Frau,,Krause Luise
"Kraussneck, Anna",Kraussneck,Anna,,,Kraussneck Anna
"Kraut, Elise",Kraut,Elise,,,Kraut Elise
"Kraut, Frl. Marie v",Kraut,Marie,Frl.,v,Kraut Marie
"Kraut, Marie v",Kraut,Marie,,v,Kraut Marie
"Krawani, Leopoldine",Krawani,Leopoldine,,,Krawani Leopoldine
"Kraze, Friede H",Kraze,Friede H,,,Kraze Friede H
"Kreil, M",Kreil,M,,,Kreil M
"Krejči, Marie Anna",Krejči,Marie Anna,,,Krejči Marie Anna
